"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N0 faire Det N de N1 à N2";"N0 faire Det N à N2";"N0 se faire Det N de N1";"GN =: le N de N0";"GN =: le N de N0 à N2";"GN =: le N de N1";"Exemple Base1";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"134";"37e";"ébarber";"ébarbage";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"135";"37e";"écailler";"écaillage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"136";"37e";"écoper";"écopage";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"137";"37e";"écosser";"écossage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"138";"37e";"écrémer";"écrémage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"139";"37e";"écumer";"écumage";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"140";"37e";"égrapper";"égrappage";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"141";"37e";"égrener";"égrenage";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"142";"37e";"élaguer";"élagage";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"143";"32h";"élever";"élevage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"144";"37m";"émailler";"émaillage";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"145";"37m";"embaumer";"embaumement";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
