"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un";"N0 faire un N Prép N1 de (le+ce+son) N2";"N0 faire Det N Prép N1 de N2";"N0 faire un N";"Det =: des";"N0 faire des N";"Det =: du";"N0 faire du N";"Prép1 =: à";"Prép1 =: sur";"Prép1 =: dans";"Prép1 =: contre";"N1 =: Nhum";"N1 =: N-hum";"N0-hum faire Det N à N1";"GN =: le N de N0";"GN =: le N de N0 Prép N1";"GN =: le N de N1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"77";"37m";"daller";"dallage";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"78";"38l";"déchirer";"déchirure";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"79";"32c";"décolleter";"décolleté";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"80";"37m";"décorer";"décoration";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"~";"Max a fait une décoration de gravures dans sa maison";"~";"~"
"81";"37m";"découper";"découpe";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~";"~"
"82";"37m";"découper";"découpure";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"La mer a fait des découpures dans la côte";"~";"~"
"83";"37m";"dédicacer";"dédicace";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"~";"~";"~";"~"
"84";"4";"dégrader";"dégradation";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"85";"37m";"déguiser";"déguisement";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"86";"37m";"denteler";"dentelure";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
