"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"<ENT>N";"<ENT>Adj";"autre Det";"Adj permut obl";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"de Nhum = à Nhum"
"172";"+";"-";"-";"travail";"manuel";"-";"-";"+";"+";"+";"+";"-";"-"
"173";"+";"-";"-";"travail";"ménager";"-";"-";"+";"+";"+";"+";"-";"+"
"174";"+";"-";"-";"travail";"noir";"-";"-";"+";"+";"+";"-";"-";"-"
"175";"+";"-";"-";"travail";"propre";"-";"-";"+";"+";"+";"-";"-";"-"
"176";"+";"-";"-";"travail";"scolaire";"-";"-";"+";"+";"+";"+";"-";"-"
"177";"+";"-";"-";"travaux";"dirigés";"-";"-";"-";"-";"-";"+";"-";"+"
"178";"+";"-";"-";"travaux";"forcés";"les";"-";"-";"-";"-";"+";"-";"-"
"179";"+";"-";"-";"travaux";"gros";"les";"+";"-";"-";"-";"+";"-";"+"
"180";"+";"-";"-";"travaux";"pratiques";"-";"-";"-";"-";"-";"+";"-";"+"
"181";"+";"-";"-";"travaux";"savants";"-";"-";"-";"-";"-";"+";"-";"-"
"182";"+";"-";"-";"trombine";"drôle de";"-";"+";"+";"+";"-";"-";"-";"-"
"183";"+";"-";"-";"tronche";"drôle de";"-";"+";"+";"+";"-";"-";"-";"-"
"184";"+";"-";"-";"trou";"normand";"le";"-";"-";"-";"-";"+";"-";"-"
"185";"+";"-";"-";"veillée";"funèbre";"-";"-";"+";"+";"-";"+";"-";"-"
"186";"+";"-";"-";"vente";"immobilière";"-";"-";"+";"+";"+";"+";"-";"-"
"187";"+";"-";"-";"vente";"judiciaire";"-";"-";"+";"+";"-";"+";"-";"-"
"188";"+";"-";"-";"vente";"mobilière";"-";"-";"+";"+";"+";"+";"-";"-"
"189";"+";"-";"-";"vente";"promotionnelle";"-";"-";"+";"+";"+";"+";"-";"-"
"190";"+";"-";"-";"vers";"méchants";"-";"+";"-";"-";"-";"+";"-";"-"
"191";"+";"-";"-";"vol";"qualifié";"-";"-";"+";"+";"-";"+";"-";"-"

