"<ID>";"faire = accorder";"faire = adresser";"faire = avoir";"faire = effectuer";"faire = lancer";"faire = octroyer";"Det =: un";"Det =: des";"autre Det";"<ENT>N";"Det figé";"Prép1 =: à";"Prép1 =: de";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se faire Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = faire l'objet de"
"155";"-";"+";"-";"+";"-";"-";"+";"-";"-";"versement annuel";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"156";"-";"+";"-";"+";"-";"-";"+";"-";"-";"versement mensuel";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"157";"-";"+";"-";"+";"-";"-";"+";"-";"-";"virement bancaire";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"158";"-";"+";"-";"+";"-";"-";"+";"-";"-";"virement postal";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"159";"+";"-";"-";"+";"-";"-";"+";"-";"-";"visite de courtoisie";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"160";"+";"-";"-";"+";"-";"-";"+";"-";"-";"visite de politesse";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"161";"+";"-";"-";"+";"-";"-";"+";"-";"-";"visite domiciliaire";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"162";"+";"-";"-";"+";"-";"-";"+";"-";"-";"visite-éclair";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-"
"163";"-";"+";"-";"-";"-";"-";"-";"+";"Poss0";"voeux de bon rétablissement";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"164";"-";"+";"-";"-";"-";"-";"-";"+";"Poss0";"voeux de bonne année";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"165";"-";"+";"-";"-";"-";"-";"-";"+";"Poss0";"voeux de fin d'année";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"166";"-";"+";"-";"-";"-";"-";"-";"+";"Poss0";"voeux de prompt rétablissement";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"

