"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"Prép2 =: à";"Prép2 =: en";"Prép2 =: par";"Prép2 =: entre";"Prép2 =: sur";"Prép2 =: contre";"Prép2 =: dans";"N0 faire un N Prép N2";"Exemple Base1";"Exemple Autre1"
"23";"32pl";"concentrer";"concentration";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"24";"11";"conditionner";"conditionnement";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"25";"38r";"convertir";"conversion";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"26";"38pl";"débiter";"débitage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"27";"38pl";"découper";"découpage";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"~";"~"
"28";"38pl";"dédoubler";"dédoublement";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"29";"38pl";"démembrer";"démembrement";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"30";"38l";"déménager";"déménagement";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"31";"38pl";"démonter";"démontage";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"32";"32pl";"dénombrer";"dénombrement";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"33";"38pl";"dépecer";"dépecage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"34";"38pl";"détailler";"détail";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"Luc fait le détail de son plan à Marie";"~"
"35";"38l";"diffuser";"diffusion";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"
"36";"32pl";"disposer";"disposition";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"37";"38pl";"disséquer";"dissection";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"38";"32pl";"distribuer";"distribution";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Max fait la distribution des livres à ses amis";"~"
"39";"38r";"diviser";"division";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~"
"40";"38pl";"diviser";"division";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"41";"38pl";"doser";"dosage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"42";"38r";"échanger";"échange";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~"
