"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"N0 =: Dislocation";"<ENT>N";"Det =: <E>, Vsup =: avoir";"Det =: le, Vsup =: avoir";"Det =: un, Vsup =: avoir";"Det =: un-Modif, Vsup =: avoir";"Det =: des, Vsup =: avoir";"Det =: du, Vsup =: avoir";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Prép1";"N1 =: ce Qu P";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N0 être de Det N";"N0 être sans Det N";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N0hum perdre Det N de V0-inf W";"N0-hum (avoir+perdre) le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1 causer Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1";"Exemple Autre1"
"88";"+";"-";"-";"-";"humeur";"-";"-";"-";"-";"-";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"89";"+";"-";"-";"-";"idée";"-";"-";"-";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"90";"+";"-";"-";"-";"illusion";"-";"-";"+";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"91";"+";"-";"-";"-";"immunisation";"-";"-";"+";"+";"-";"-";"-";"+";"+";"contre";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"92";"+";"-";"-";"-";"immunité";"-";"-";"-";"+";"-";"-";"-";"+";"+";"contre";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"93";"+";"-";"-";"-";"incapacité";"-";"-";"-";"+";"-";"-";"-";"+";"+";"à";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"94";"+";"-";"-";"-";"incertitude";"-";"-";"-";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"95";"+";"+";"+";"-";"inconvénient";"-";"-";"+";"+";"+";"-";"-";"+";"+";"pour";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"~";"~"
"96";"+";"-";"-";"-";"indignation";"-";"-";"-";"+";"-";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"97";"+";"-";"-";"-";"inhibition";"-";"-";"-";"+";"+";"-";"-";"+";"+";"devant";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"98";"-";"-";"+";"+";"injustice";"-";"-";"-";"+";"-";"+";"-";"+";"+";"vis à vis de";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~"
"99";"-";"-";"-";"-";"insistance";"-";"-";"-";"+";"-";"+";"-";"+";"+";"à";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"100";"+";"-";"-";"-";"insistance";"-";"-";"-";"+";"-";"-";"-";"+";"+";"Loc";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"101";"+";"+";"+";"-";"intérêt";"-";"-";"+";"+";"-";"+";"-";"+";"+";"pour";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~"
