"<ID>";"<ENT>N";"<OPT>V";"faire = procéder à";"Det =: un";"Det =: un-Modif";"Prép1 =: à";"Prép1 =: de";"Prép1 =: contre";"Prép1 =: sur";"N0 faire un N à N1";"N0 faire un N de N1";"N0 faire un N contre N1";"N0 faire un N sur N1";"N0 faire un N Modif à N1";"N0 faire un N Modif de N1";"N0 faire un N Modif contre N1";"N0 faire un N Modif sur N1";"N0 faire le N de N1";"N1 =: Nhum";"N1 =: N-hum";"subir = (être+faire) l'objet de";"Exemple Base1";"Exemple Base2"
"835";"matage";"mater";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"~";"~"
"836";"maternage";"materner";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"837";"mathématisation";"mathématiser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"838";"matriçage";"matricer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"839";"mensualisation";"mensualiser";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"840";"mensuration";"mensurer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"841";"mercerisage";"merceriser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"842";"mesurage";"mesurer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"843";"métallisation";"métalliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~"
"844";"métissage";"métisser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"845";"métrage";"métrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"846";"meulage";"meuler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"847";"militarisation";"militariser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"848";"millage";"miller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"849";"millerandage";"millerander";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"850";"minage";"miner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"851";"miniaturisation";"miniaturiser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"852";"minutage";"minuter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"853";"mithridatisation";"mithridatiser";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"854";"mitigation";"mitiger";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"855";"mixage";"mixer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"856";"mobilisation";"mobiliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"857";"modelage";"modeler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"858";"modernisation";"moderniser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"859";"modification";"modifier";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"~";"~"
"860";"moirage";"moirer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"861";"moissonnage";"moissonner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"862";"moletage";"moleter";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"863";"montage";"monter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"864";"morcellement";"morceler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"865";"mortaisage";"mortaiser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"866";"motorisation";"motoriser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"867";"mouchetage";"moucheter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"868";"mouillage";"mouiller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"869";"moulage";"mouler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"870";"moulinage";"mouliner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"871";"multiplication";"multiplier";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"872";"murage";"murer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"873";"mûrissage";"mûrir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"874";"mutage";"muter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"875";"mutilation";"mutiler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"876";"nappage";"napper";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"877";"nattage";"natter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"878";"nettoyage";"nettoyer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"879";"neutralisation";"neutraliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"~";"~"
"880";"nickelage";"nickeler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"881";"niellage";"nieller";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"882";"nitratation";"nitrater";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"883";"nitrification";"nitrifier";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"884";"nitruration";"nitrurer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"885";"nivelage";"niveler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"886";"nivellement";"niveller";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"887";"normalisation";"normaliser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"888";"nouage";"nouer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"889";"nourrissage";"nourrir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"890";"noyautage";"noyauter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"~";"~"
"891";"nucléarisation";"nucléariser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"892";"numérotage";"numéroter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"893";"nutrition";"nourrir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"894";"oblitération";"oblitérer";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"895";"obturation";"obturer";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"896";"occultation";"occulter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"897";"occupation";"occuper";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"898";"offense";"offenser";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"~";"~"
"899";"officialisation";"officialiser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"900";"opacification";"opacifier";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"901";"opalisation";"opaliser";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"902";"opération";"opérer";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"903";"orchestration";"orchestrer";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"904";"orientation";"orienter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"905";"orpaillage";"orpailler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"906";"ourdissage";"ourdir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"907";"oxycoupage";"oxycouper";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"908";"oxygénation";"oxygéner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"909";"ozonisation";"ozoniser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"910";"pacification";"pacifier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"911";"pacquage";"pacquer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"912";"pagination";"paginer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"913";"paillage";"pailler";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"914";"paillassonnage";"paillassonner";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"915";"pailletage";"pailleter";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"916";"palissage";"palisser";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"917";"palpation";"palper";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"918";"panachage";"panacher";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"919";"panification";"panifier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"920";"pansage";"panser";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"921";"paraffinage";"paraffiner";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"922";"parcellisation";"parcelliser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"923";"parodie";"parodier";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"~";"~"
"924";"parquetage";"parqueter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"925";"partage";"partager";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"926";"pasteurisation";"pasteuriser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"927";"pastiche";"pasticher";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"928";"pastillage";"pastiller";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"929";"patentage";"patenter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"930";"patinage";"patiner";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"931";"pattinsonage";"pattinsoner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"932";"pavage";"paver";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"933";"peignage";"peigner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"934";"pelage";"peler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"935";"pelletage";"pelleter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"936";"pelliculage";"pelliculer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"937";"perçage";"percer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"938";"percement";"percer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"939";"perforage";"perforer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"940";"permutation";"permuter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"941";"perquisition";"perquisitionner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"942";"pesage";"peser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"943";"pétrissage";"pétrir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"944";"phosphatage";"phosphater";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"945";"piégeage";"piéger";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"946";"pilage";"piler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"947";"pillage";"piller";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"948";"pilonnage";"pilonner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"949";"pinçage";"pincer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"950";"piquage";"piquer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"951";"pistage";"pister";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"952";"pitonnage";"pitonner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"953";"placage";"placer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"954";"plafonnage";"plafonner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"955";"planage";"planer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"956";"planification";"planifier";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"957";"plastification";"plastifier";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"958";"platinage";"platiner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"959";"plâtrage";"plâtrer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"960";"pliage";"plier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"961";"plissage";"plisser";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"962";"plombage";"plomber";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"963";"plumage";"plumer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"964";"poinçonnage";"poinçonner";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"965";"pointage";"pointer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"966";"polissage";"polir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"967";"politisation";"politiser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"~";"~"
"968";"pompage";"pomper";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"969";"ponçage";"poncer";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"970";"ponction";"ponctionner";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"~";"~"
"971";"ponctuation";"ponctuer";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"972";"pontage";"ponter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"973";"poudrage";"poudrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"974";"pourrissage";"pourrir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"975";"pralinage";"praliner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"976";"préchauffage";"préchauffer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"977";"préfinancement";"préfinancer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"978";"prélavage";"prélaver";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"979";"prélèvement";"prélever";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"~";"~"
"980";"présélection";"présélectionner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"981";"pressage";"presser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"982";"pressurage";"pressurer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"983";"pressurisation";"pressuriser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"984";"privatisation";"privatiser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"985";"profanation";"profaner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"986";"profilage";"profiler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"987";"programmation";"programmer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"988";"provignage";"provigner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"989";"provocation";"provoquer";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"~";"~"
"990";"puddlage";"puddler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"991";"pulvérisation";"pulvériser";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"992";"purge";"purger";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"993";"purification";"purifier";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"994";"quadrillage";"quadriller";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"995";"rabattage";"rabattre";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"996";"rabotage";"raboter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"997";"raccommodage";"raccommoder";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"998";"raccordement";"raccorder";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"999";"raccourcissement";"raccourcir";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1000";"racinage";"raciner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1001";"raclage";"racler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1002";"radiographie";"radiographier";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"1003";"radioguidage";"radioguider";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"~";"~"
"1004";"radioscopie";"radioscopier";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"1005";"radiosondage";"radiosonder";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1006";"raffinage";"raffiner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1007";"rafistolage";"rafistoler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1008";"railleries";"railler";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"~";"~"
"1009";"rajeunissement";"rajeunir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
