"<ID>";"faire = accorder";"faire = adresser";"faire = apporter";"faire = effectuer";"faire = lancer";"faire = octroyer";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le-Modif";"autre Det";"<ENT>N";"<OPT>V";"Prép1 =: à";"Prép1 =: de";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se faire Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = essuyer";"recevoir = obtenir";"Exemple Base1";"Exemple Autre1"
"13";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"câlin";"câliner";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~"
"14";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"câlineries";"câliner";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~"
"15";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"caresse";"caresser";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~"
"16";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"célébration";"célébrer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~"
"17";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"cession";"céder";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"18";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"chatouilles";"chatouiller";"+";"-";"+";"-";"+";"+";"-";"-";"-";"~";"~"
"19";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"clôture";"clôturer";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~"
"20";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"commande";"commander";"+";"-";"+";"-";"-";"+";"+";"-";"+";"~";"~"
"21";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"commémoration";"commémorer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~"
"22";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"commentaire";"commenter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~"
"23";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"compliment";"complimenter";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~"
"24";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"concession";"concéder";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~"
"25";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"confession";"confesser";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~"
"26";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"congratulations";"congratuler";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"~"
"27";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"critique";"critiquer";"+";"+";"+";"+";"-";"+";"+";"+";"-";"~";"~"
"28";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"datation";"dater";"-";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~"
"29";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"déclaration";"déclarer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"~";"~"
"30";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"dédicace";"dédicacer";"+";"-";"+";"-";"-";"+";"+";"-";"-";"~";"~"
"31";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"déduction";"déduire";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"32";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"défense";"défendre";"+";"-";"+";"-";"-";"-";"+";"-";"-";"~";"~"
