"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"Vsup =: avoir";"Vsup =: avoir eu";"Det =: des";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: <E>";"Det =: le";"Det =: les";"le N de N0 =: son";"N0 Vsup Det N de Nc sur N1";"Det =: un-de Dnum Nmes";"<ENT>N";"N0 Vsup Det N";"N1 =: Nhum";"N1 =: N-hum";"N1 =: N0";"N1 =: la façon de V-inf W";"N1 =: le fait Qu P";"N1 =: ce(ci+la)";"N1 =: la dessus";"N0 V son N sur N1";"Prép1 =: dans";"Exemple Base1";"Exemple Autre1"
"95";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"primauté";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"~";"~"
"96";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"principe";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~"
"97";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"priorité";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"~";"~"
"98";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"prise";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~"
"99";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"privilège";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"~";"~"
"100";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"profit";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"101";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"propos";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"102";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"puissance";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~"
"103";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"question";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"104";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"rabais";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"105";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"rayonnement";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~"
"106";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"rebondissement";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"~";"~"
"107";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"réduction";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"108";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"référence";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"~";"~"
"109";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"reflet";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~"
"110";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"regard";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"111";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"rejaillissement";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~"
"112";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"remise";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"113";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"renseignement";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"114";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"répercussion";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~"
"115";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"résonance";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"~";"~"
"116";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"retard";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"117";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"retentissement";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~"
