"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"Det =: un, faire = fabriquer";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"79";"+";"+";"danse africaine";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"80";"+";"+";"danse carrée";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"81";"+";"+";"danse classique";"-";"-";"+";"+";"+";"1";"-";"ur";"+";"-";"-"
"82";"+";"+";"danse à claquettes";"-";"-";"+";"+";"+";"1";"-";"ur";"+";"-";"-"
"83";"+";"+";"danse contemporaine";"-";"-";"+";"+";"+";"1";"-";"ur";"+";"-";"-"
"84";"+";"+";"danse de salon";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"85";"+";"+";"danse du ventre";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"86";"+";"+";"danse ethnique";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"87";"+";"+";"danse folklorique";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"88";"+";"+";"danse indienne";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"89";"+";"+";"danse moderne";"-";"-";"+";"+";"+";"1";"-";"ur";"+";"-";"-"
"90";"+";"+";"danse orientale";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"91";"+";"+";"danse populaire";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"92";"+";"+";"danse sportive";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"93";"+";"+";"danse sur glace";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"94";"+";"+";"deck-tennis";"-";"-";"-";"-";"+";"2";"-";"man";"-";"+";"-"
"95";"+";"+";"demi-fond";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"96";"+";"+";"demi-fond court";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"97";"+";"+";"demi-fond intermédiaire";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"98";"+";"+";"demi-fond long";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"99";"+";"+";"demi-fond prolongé";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"100";"+";"+";"descente de rivière";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-"
"101";"+";"+";"dessin";"-";"+";"-";"-";"+";"-";"-";"ateur";"+";"-";"-"
"102";"+";"+";"dessin industriel";"-";"+";"-";"-";"+";"1";"-";"ateur";"+";"-";"-"
"103";"+";"-";"décathlon";"-";"-";"-";"-";"+";"-";"-";"ien";"-";"-";"-"
"104";"+";"+";"dictée";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-"
"105";"+";"+";"double";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"106";"+";"-";"ennéathlon";"-";"-";"-";"-";"+";"-";"-";"ien";"-";"-";"-"
"107";"+";"+";"escalade";"-";"-";"-";"-";"+";"-";"-";"ur";"+";"-";"-"
"108";"+";"+";"escalade sur glacier";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"109";"+";"+";"escalade sur rocher";"-";"-";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"110";"+";"+";"excursion";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"111";"+";"+";"exercices au sol";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"112";"+";"+";"exploration sous-marine";"-";"-";"-";"+";"+";"1";"ion";"eur";"+";"-";"-"
"113";"+";"-";"épaulé-jeté";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"114";"+";"+";"faustball";"-";"-";"-";"-";"-";"-";"-";"-";".";"+";"-"
"115";"+";"+";"figures imposées";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-"
"116";"+";"+";"figures libres";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"117";"+";"+";"foot";"-";"-";"-";"-";"+";"-";"-";"balleur";"-";"+";"-"
"118";"+";"+";"foot-ball";"-";"-";"-";"+";"+";"2";"-";"eur";"-";"+";"-"
"119";"+";"+";"foot-ball américain";"-";"-";"-";"-";"+";"2";"-";"eur";"-";"+";"-"
"120";"+";"+";"foot-ball australien";"-";"-";"-";"-";"+";"2";"-";"eur";"-";"+";"-"
"121";"+";"+";"foot-ball canadien";"-";"-";"-";"-";"+";"2";"-";"eur";"-";"+";"-"
"122";"+";"+";"foot-ball au drapeau";"-";"-";"-";"-";"+";"2";"-";"eur";"-";"+";"-"
"123";"+";"+";"foot-ball de table";"-";"-";"-";"-";"+";"2";"ball";"micro-eux";"-";"+";"-"
"124";"+";"+";"foot-ball en salle";"-";"-";"-";"-";"+";"2";"-";"eur";"-";"-";"-"
"125";"+";"+";"foot-ball européen";"-";"-";"-";"-";"+";"2";"-";"eur";"-";"+";"-"
"126";"+";"+";"foot-ball gaélique";"-";"-";"-";"-";"+";"2";"-";"eur";"-";"+";"-"
"127";"+";"+";"footbag";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"128";"+";"+";"footbag au filet";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"129";"+";"+";"footbag consécutif";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"130";"+";"+";"football";"-";"-";"-";"-";"+";"1";"-";"eur";"-";"+";"-"
"131";"+";"+";"football américain";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"+";"-"
"132";"+";"+";"football australien";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"+";"-"
